group,indicator,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10
pi_vjaneja,CPU 2018 Usage,0,0,0,0,0,0,0.0411111,34.1197,0,6.12028,0.26,63.0961,0,6.9825,0,23.0733,16.0136,153.572,191.318,60.8944,64.0072,0,0.0213889,0,0.0775,0,0,0,0,0,0,0,0,0
pi_mbaker,CPU 2018 Usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00111111,0,14.19,56.4175,198.674,108.844,0,98.7817,0,0,0,0,0.0205556,54.8367,81.6178,138.521,180.937,826.132,50.8483,480.332
pi_carter,CPU 2018 Usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1274.18,1600.74,0,0,0,0,0,0,0,0,0,0,0
pi_donengel,CPU 2018 Usage,0,0,0,0,1866.43,0,0,4.00306,0,1097.11,0,2685.1,974.816,0.921389,0,0,0,0,0,0,0,0,0,0,0,0,0,58.4331,0,0,0,0,0,0
pi_hoban,CPU 2018 Usage,5.84,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.03,0,0,0.0186111,29.2,6962.46,0,382.385,721.432,0.146944,0
pi_weltyc,CPU 2018 Usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5238.02,4039.41,0,0,0,0,0
pi_nagaraj,CPU 2018 Usage,0.03,0.04,0.0266667,0,1.07361,0,0,0.0366667,1.33556,9.54278,0,0,0,0,0,0,0,0,0,0,0.898333,0.940556,0.170556,0,7.40889,53.2142,0,0,10622.1,197.81,0,0.000833333,7.96611,156.761
support,CPU 2018 Usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0,0,9888.34,1262.82
pi_mlyu,CPU 2018 Usage,0,0,0,0,0,0,0,73.2,0,0,0,1113.99,0,0,0,0,0,20.75,1117.18,7.12667,9.59222,805.271,6154.47,352.99,9.25611,393.71,1.83778,1.95472,1.47139,445.72,1249.78,0,126.92,0
pi_olano,CPU 2018 Usage,0,0,0,0,0,0,0,0,0,803.41,15648.9,0,0,112.511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
